,task_id,dataset name,accuracy kdf,accuracy rf
0,3,kr-vs-kp,0.9918603056426333,0.9921708463949844
1,6,letter,0.9822,0.96815
2,11,balance-scale,0.8959549411162314,0.8271377368151562
3,12,mfeat-factors,0.7855,0.968
4,14,mfeat-fourier,0.8415000000000001,0.834
5,15,breast-w,,
6,16,mfeat-karhunen,0.978,0.9639999999999999
7,18,mfeat-morphological,0.4124999999999999,0.712
8,22,mfeat-zernike,0.825,0.781
9,23,cmc,0.49023257951829385,0.5133158668872955
10,28,optdigits,0.9907473309608541,0.9845195729537366
11,29,credit-approval,,
12,31,credit-g,0.702,0.76
13,32,pendigits,0.9948147075854082,0.9925398295971546
14,37,diabetes,0.7408578263841422,0.7631066302118934
15,43,spambase,0.6933250023578232,0.9534853343393378
16,45,splice,0.929153605015674,0.9579937304075236
17,49,tic-tac-toe,0.8559100877192982,0.960328947368421
18,53,vehicle,0.7671428571428571,0.7447198879551821
19,219,electricity,0.7111578557677491,0.9125396674044822
20,2074,satimage,0.9074650077760499,0.9213063763608087
21,2079,eucalyptus,,
22,3021,sick,,
23,3022,vowel,0.9636363636363635,0.9737373737373737
24,3481,isolet,0.6742406438234422,0.9485713110167537
25,3549,analcatdata_authorship,0.9833333333333332,0.9892857142857142
26,3560,analcatdata_dmft,0.17447784810126582,0.19196202531645573
