 Sl. No. , Task / Dataset ID , Name of Dataset , Number of Input Features , Number of Nominal (Categorical) Features ,mean accuracy rf,std accuracy rf,mean accuracy kdf,std accuracy kdf,Executed?,task_id (from OpenML execution),dataset name
1,3, kr-vs-kp ,36,36,0.990927704,0.004729651,0.992182602,0.007162208,0,3,kr-vs-kp
2,6, letter ,16,0,0.96825,0.00303521,0.98275,0.001691892,0,6,letter
3,11, balance-scale ,4,0,0.814541731,0.025901015,0.897567844,0.014843851,0,11,balance-scale
4,12, mfeat-factors ,216,0,0.97,0.0083666,0.789,0.016703293,0,12,mfeat-factors
5,14, mfeat-fourier ,76,0,0.8355,0.023070544,0.8415,0.022254213,0,14,mfeat-fourier
6,15, breast-w ,9,0,ValueError in Execution,ValueError in Execution,ValueError in Execution,ValueError in Execution,0,15,breast-w
7,16, mfeat-karhunen ,64,0,0.964,0.008306624,0.981,0.007348469,0,16,mfeat-karhunen
8,18, mfeat-morphological ,6,0,0.708,0.029512709,0.4115,0.030581857,0,18,mfeat-morphological
9,22, mfeat-zernike ,47,0,0.7765,0.031468238,0.8185,0.027023138,0,22,mfeat-zernike
10,23, cmc ,9,7,0.529578047,0.028504952,0.494208494,0.027733561,0,23,cmc
11,28, optdigits ,64,0,0.984519573,0.004574719,0.990391459,0.004300016,0,28,optdigits
12,29, credit-approval ,15,9,ValueError in Execution,ValueError in Execution,ValueError in Execution,ValueError in Execution,0,29,credit-approval
13,31, credit-g ,20,13,0.764,0.030066593,0.7,0,0,31,credit-g
14,32, pendigits ,16,0,0.99226735,0.001737013,0.994814211,0.001630728,0,32,pendigits
15,37, diabetes ,8,0,0.763072454,0.042388268,0.751281613,0.02646773,0,37,diabetes
16,43, spambase ,57,0,0.954789682,0.010288338,0.678328303,0.040584043,0,43,spambase
17,45, splice ,60,60,0.956426332,0.010439389,0.92476489,0.011127423,0,45,splice
18,49, tic-tac-toe ,9,9,0.954057018,0.018800013,0.854901316,0.024512308,0,49,tic-tac-toe
19,53, vehicle ,18,0,0.754061625,0.040175089,0.773011204,0.042955209,0,53,vehicle
20,219, electricity ,8,1,0.91282659,0.005717615,0.712415993,0.007767207,0,219,electricity
21,2074, satimage ,36,0,0.919595645,0.009175739,0.91088647,0.008716116,0,2074,satimage
22,2079, eucalyptus ,19,5,ValueError in Execution,ValueError in Execution,ValueError in Execution,ValueError in Execution,0,2079,eucalyptus
23,3021, sick ,29,22,ValueError in Execution,ValueError in Execution,ValueError in Execution,ValueError in Execution,0,3021,sick
24,300, isolet ,617,0,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,isolet
25,3022, vowel ,12,2,0.974747475,0.013738859,0.968686869,0.018870244,0,3022,vowel
26,3549, analcatdata_authorship ,70,0,0.991680672,0.00929263,0.988109244,0.009221485,0,3549,analcatdata_authorship
27,3560, analcatdata_dmft ,4,4,0.190727848,0.030762375,0.189509494,0.05309727,0,3560,analcatdata_dmft
28,554, mnist_784 ,784,0,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,mnist_784
29,3902, pc4 ,37,0,0.91014171,0.011722175,0.165318847,0.01746871,0,3902,pc4
30,3903, pc3 ,37,0,0.90144537,0.014541502,0.150216397,0.060651612,0,3903,pc3
31,3904, jm1 ,21,0,ValueError in Execution,ValueError in Execution,ValueError in Execution,ValueError in Execution,0,3904,jm1
32,3913, kc2 ,21,0,0.839259797,0.054472888,0.79691582,0.052498011,0,3913,kc2
33,3917, kc1 ,21,0,0.86060483,0.019167783,0.837354999,0.016517694,0,3917,kc1
34,3918, pc1 ,21,0,0.936871417,0.02245941,0.371605242,0.169435962,0,3918,pc1
35,1590, adult ,14,8,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,adult
36,4134, Bioresponse ,1776,0,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,Bioresponse
37,9946, wdbc ,30,0,0.95783208,0.014004986,0.792606516,0.034967795,0,9946,wdbc
38,9952, phoneme ,5,0,0.914876429,0.0067909,0.846409256,0.008201839,0,9952,phoneme
