,accuracy kdn,accuracy nn,reps,sample
0,0.518,0.586,0,1000
1,0.488,0.498,1,1000
2,0.479,0.472,2,1000
3,0.49,0.508,3,1000
4,0.533,0.522,4,1000
5,0.508,0.533,5,1000
6,0.501,0.467,6,1000
7,0.513,0.513,7,1000
8,0.498,0.516,8,1000
9,0.512,0.566,9,1000
10,0.566,0.7,0,5000
11,0.685,0.843,1,5000
12,0.508,0.49,2,5000
13,0.674,0.925,3,5000
14,0.655,0.85,4,5000
15,0.663,0.863,5,5000
16,0.666,0.856,6,5000
17,0.658,0.871,7,5000
18,0.606,0.924,8,5000
19,0.65,0.83,9,5000
20,0.697,0.924,0,10000
21,0.677,0.753,1,10000
22,0.733,0.868,2,10000
23,0.655,0.874,3,10000
24,0.578,0.905,4,10000
25,0.764,0.928,5,10000
26,0.649,0.898,6,10000
27,0.757,0.881,7,10000
28,0.725,0.911,8,10000
29,0.647,0.941,9,10000
