,accuracy kdn,accuracy nn,reps,sample
0,0.522,0.523,0,1000
1,0.506,0.517,1,1000
2,0.494,0.516,2,1000
3,0.51,0.475,3,1000
4,0.523,0.509,4,1000
5,0.49,0.503,5,1000
6,0.504,0.546,6,1000
7,0.481,0.552,7,1000
8,0.506,0.508,8,1000
9,0.512,0.529,9,1000
10,0.504,0.725,0,5000
11,0.537,0.894,1,5000
12,0.515,0.842,2,5000
13,0.512,0.913,3,5000
14,0.542,0.867,4,5000
15,0.513,0.834,5,5000
16,0.513,0.853,6,5000
17,0.538,0.823,7,5000
18,0.529,0.889,8,5000
19,0.552,0.817,9,5000
20,0.538,0.849,0,10000
21,0.48,0.902,1,10000
22,0.527,0.886,2,10000
23,0.58,0.811,3,10000
24,0.547,0.908,4,10000
25,0.557,0.929,5,10000
26,0.554,0.912,6,10000
27,0.517,0.848,7,10000
28,0.533,0.927,8,10000
29,0.572,0.904,9,10000
